El Diario,2015-06-01 12:52:40,horas,0.423
El Diario,2015-06-01 12:52:40,Mesa,0.423
El Diario,2015-06-01 12:52:40,cambio político,0.423
El Pais,2015-06-01 12:52:43,partido,0.994
El Pais,2015-06-01 12:52:43,PSOE,0.683
El Pais,2015-06-01 12:52:43,pactos,0.559
El Pais,2015-06-01 12:52:43,Madrid,0.497
El Pais,2015-06-01 12:52:43,Podemos,0.497
El Pais,2015-06-01 12:52:43,José Manuel Romero,0.466
El Pais,2015-06-01 12:52:43,Francesco Manetto Madrid,0.466
El Pais,2015-06-01 12:52:43,Ciudadanos,0.373
El Pais,2015-06-01 12:52:43,presidente,0.311
El Pais,2015-06-01 12:52:43,Javier Casqueiro Madrid,0.311
El Pais,2015-06-01 12:52:43,Partido Popular valenciano,0.311
El Pais,2015-06-01 12:52:43,Fernando Garea Madrid,0.311
El Pais,2015-06-01 12:52:43,Joaquín Ferrandis Valencia,0.311
El Pais,2015-06-01 12:52:43,Pedro,0.311
El Pais,2015-06-01 12:52:43,accidente,0.311
El Pais,2015-06-01 12:52:43,secretario general,0.280
El Pais,2015-06-01 12:52:43,American Express,0.280
El Pais,2015-06-01 12:52:43,entrevista,0.248
El Pais,2015-06-01 12:52:43,gobiernos,0.248
El Pais,2015-06-01 12:52:43,elecciones,0.248
El Pais,2015-06-01 12:52:43,Colau,0.248
El Pais,2015-06-01 12:52:43,caso,0.248
El Pais,2015-06-01 12:52:43,Barcelona,0.248
El Pais,2015-06-01 12:52:43,candidato,0.248
El Pais,2015-06-01 12:52:43,Rey,0.186
